ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
1118	151	13	17	ao	Gimbsheim	Worms	Hessen	j	NA	NA	NA	NA	detected			455067.658824787	5514201.76755268	detected		455067.6588	5514201768	
1236	151	31	7	c	Mörsch	BA. Frankenthal	RegBez. Pfalz (Bayern)	j	j	NA	NA	NA	not detected	Mörsch	Frankenthal	99999	99999	not detected	NANA	455100.32	5488933.16	f
395	125	19	16	du	Ballersbach	Dillkreis	Hessen-Nassau	j	j	NA	NA	NA	detected			455295.924335482	5614876.44532139	detected		455295.9243	5614876445	
886	139	13	17	co	Reichenbach	Usingen	Hessen-Nassau	j	j	j	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	455433.2339	5569094045	found
1057	151	1	12	au	Bauschheim	Groß Gerau	Hessen	NA	j	j	j	NA	detected			455479.49857027	5534367.96274165	detected		455479.4986	5534367963	
794	139	1	17	cu	Weilmünster	Oberlahnkreis	Hessen-Nassau	j	j	j	j	NA	detected			455604.067274784	5586884.28606525	detected		455604.0673	5586884286	
1058	151	1	22	ao	Astheim	Groß Gerau	Hessen	j	j	NA	NA	NA	detected			455612.857287433	5531409.2033671	detected		455612.8573	5531409203	
928	139	19	7	au	Kröftel	Untertaunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			455647.188137531	5563988.35937747	detected		455647.1881	5563988359	
1160	151	19	17	cu	Nordheim	Bensheim	Hessen	j	j	j	j	NA	detected			455859.564859464	5503588.11896052	detected		455859.5649	5503588119	
988	139	31	12	dl	Massenheim	Main-Taunuskreis	Hessen-Nassau	NA	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	456142.3148	5543480163	found
428	125	25	17	cd	Ehringshausen	Wetzlar	Hessen-Nassau	NA	NA	j	NA	NA	detected			999	999	not an unique name	prev. not unique	456335.5331	5605671144	found
361	125	13	7	cd	Hirzenhain	Dillkreis	Hessen-Nassau	NA	NA	j	j	NA	multiple entires detected			999	999	multiple entires detected		456604.4124	5627787478	found
1238	151	31	17	dr	Oppau	BA. Frankenthal	RegBez. Pfalz (Bayern)	j	j	j	j	NA	detected			456878.675614311	5485612.7524244	detected		456878.6756	5485612752	
1119	151	13	23	cu	Eich	Worms	Hessen	j	j	j	NA	NA	detected			999	999	not an unique name	prev. not unique	456957.2338	5510984222	found
425	125	25	2	du	Dreisbach	Wetzlar	Hessen-Nassau	j	j	j	j	NA	detected			457116.664775444	5611180.36314385	detected		457116.6648	5611180363	
793	139	1	12	d	Möttau	Oberlahnkreis	Hessen-Nassau	NA	NA	j	NA	NA	detected			457170.844257566	5589150.92582149	detected		457170.8443	5589150926	
1161	151	19	18	cl	Wattenheim	Bensheim	Hessen	j	NA	NA	NA	NA	detected			457296.477890353	5503754.50324719	detected		457296.4779	5503754503	
1197	151	25	3	co	Hofheim	Bensheim	Hessen	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	457387.6122	5500662867	found
1059	151	1	23	co	Trebur	Groß Gerau	Hessen	j	j	j	j	NA	detected			457607.041725884	5530370.15848254	detected		457607.0417	5530370158	
838	139	7	18	ac	Gemünden	Usingen	Hessen-Nassau	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	457726.3971	5578716036	found
1054	151	1	3	a	Rüsselsheim	Groß Gerau	Hessen	j	j	j	j	NA	detected			457747.830913463	5538219.04087895	detected		457747.8309	5538219041	
478	125	31	13	c	Burgsolms	Wetzlar	Hessen-Nassau	j	j	j	j	NA	detected			457929.259277787	5598763.62921379	detected		457929.2593	5598763629	
365	125	13	23	c	Oberndorf	Dillkreis	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		458440.9605	5622123273	found
396	125	19	18	ao	Offenbach	Dillkreis	Hessen-Nassau	j	j	j	j	NA	detected			458615.192821218	5616506.07006533	detected		458615.1928	5616506.07	
962	139	25	13	cr	Lorsbach	Main-Taunuskreis	Hessen-Nassau	j	j	j	NA	NA	detected			458627.642282235	5551866.47292316	detected		458627.6423	5551866473	
959	139	25	3	cd	Fischbach	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	458898.8203	5555511501	found
927	139	19	3	bd	Niederreifenberg	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			459107.619545236	5565939.8862542	detected		459107.6195	5565939886	
343	125	7	23	c	Oberhörlen	Biedenkopf	Hessen-Nassau	j	j	j	j	NA	detected			459192.629826935	5631614.28967493	detected		459192.6298	5631614.29	
885	139	13	13	bo	Treisberg	Usingen	Hessen-Nassau	j	NA	NA	NA	NA	detected			459842.676473269	5571671.95053219	detected		459842.6765	5571671951	
1085	151	7	19	co	Leeheim	Groß Gerau	Hessen	j	NA	NA	NA	NA	detected			460122.140297703	5522979.16394872	detected		460122.1403	5522979164	
362	125	13	8	b	Frechenhausen	Biedenkopf	Hessen-Nassau	NA	NA	NA	j	NA	detected			460190.566257489	5628581.76256195	detected		460190.5663	5628581763	
1198	151	25	9	au	Bürstadt	Bensheim	Hessen	j	j	j	j	NA	detected			460377.759746243	5498950.22558628	detected		460377.7597	5498950226	
1080	151	7	4	co	Wallerstädten	Groß Gerau	Hessen	NA	j	j	j	NA	detected			460584.501268237	5528201.56851387	detected		460584.5013	5528201569	
341	125	7	13	d	Niederdieten	Biedenkopf	Hessen-Nassau	j	j	j	j	NA	detected			460673.352939806	5635584.07213152	detected		460673.3529	5635584072	
989	139	31	19	cu	Raunheim	Groß Gerau	Hessen	j	j	j	j	NA	detected			460788.99932102	5540453.086988	detected		460788.9993	5540453087	
364	125	13	19	a	Wallenfels	Dillkreis	Hessen-Nassau	j	NA	NA	NA	NA	detected			460856.597375481	5625318.40703376	detected		460856.5974	5625318407	
837	139	7	14	ac	Naunstadt	Usingen	Hessen-Nassau	j	j	j	j	NA	detected			460940.935894033	5580537.20154953	detected		460940.9359	5580537202	
