"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"375",50,"111",21,24,"dl","Rhadern","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",485681.696038079,5668694.13798155,"detected"
"376",51,"111",21,25,"cr","Fürstenberg","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",488212.184025479,5668520.90322038,"detected"
"377",53,"111",22,13,"al","Marienhagen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",493797.230812996,5673281.93690624,"detected"
"378",54,"111",22,14,"al","Vöhl","Frankenberg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",496087.953848403,5672768.12462692,"detected"
"379",55,"111",22,25,"cr","Bringhausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",499832.213105589,5668852.1372811,"detected"
"380",57,"111",23,8,"ad","Netze","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",506661.880406592,5674750.45887024,"detected"
"381",58,"111",23,12,"bu","Waldeck","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",504296.19981427,5672846.27709193,"detected"
"382",59,"111",23,23,"cu","Affoldern","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",505635.147477015,5668577.20458499,"detected"
"383",61,"111",24,1,"al","Naumburg","Wolfhagen","Hessen-Nassau","j","j","j","j",NA,"detected","","",511578.538152302,5677606.14079918,"detected"
"384",62,"111",24,7,"cl","Altendorf","Wolfhagen","Hessen-Nassau","j","j","j","j",NA,"detected","","",514108.308638385,5673875.85763075,"detected"
"385",63,"111",24,15,"cr","Metze","Fritzlar-Homberg","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",523117.075843121,5672574.00476986,"detected"
"386",64,"111",24,23,"bo","Lohne","Fritzlar-Homberg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",518613.957402135,5669819.97674061,"detected"
"387",65,"111",24,24,"dl","Wehren","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,"detected","","",520631.8929753,5668615.50662564,"detected"
"388",68,"111",27,14,"a","Sachsenberg","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",485297.18121545,5663802.09970796,"detected"
"389",69,"111",27,21,"al","Somplar","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",476654.246422933,5660653.4830813,"detected"
"390",70,"111",27,23,"ab","Hommershausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",483145.865324897,5660772.74223487,"detected"
"391",71,"111",28,2,"co","Buchenberg","Frankenberg","Hessen-Nassau","j",NA,NA,NA,NA,"detected","","",491027.813998224,5667380.90668182,"detected"
"392",72,"111",28,11,"bo","Ederbringhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",490630.430992414,5664212.2205094,"detected"
"393",73,"111",28,20,"au","Frebershausen","der Eder","Hessen-Nassau","j","j",NA,"j",NA,"detected","","",498746.931039166,5662035.33061796,"detected"
"394",74,"111",29,3,"bo","Mehlen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",507348.747438513,5668101.17719192,"detected"
"395",75,"111",29,9,"br","Anraff","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",509954.385765614,5665747.9706209,"detected"
"396",76,"111",29,11,"ar","Gellershausen","der Eder","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",501007.642092602,5664148.19199207,"detected"
"397",77,"111",29,12,"cd","Albertshausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",503842.821573927,5662559.27919673,"detected"
"398",79,"111",29,21,"ab","Hüddingen","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",501365.493396611,5660456.23754496,"detected"
"399",80,"111",29,23,"dr","Odershausen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",507550.110590737,5659516.33632701,"detected"
"400",81,"111",30,3,"b","Haddamar","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",518537.454762923,5667773.4688946,"detected"
"401",82,"111",30,6,"a","Wellen","der Eder","Hessen-Nassau","j","j","j","j",NA,"detected","","",512353.336251279,5665942.22131659,"detected"
"402",83,"111",30,11,"br","Mandern","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",514045.036762788,5663789.14318822,"detected"
"403",84,"111",30,15,"a","Obermöllrich","Fritzlar-Homberg","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",522140.351314564,5664140.08499461,"detected"
"404",86,"111",32,18,"ad","Dodenau","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",471483.99649146,5652605.80638025,"detected"
"405",87,"111",32,20,"c","Battenfeld","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",476173.665460574,5652103.87451676,"detected"
"406",89,"111",33,13,"a","Röddenau","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",482650.624623262,5655091.74792609,"detected"
"407",91,"111",34,16,"ar","Willersdorf","Frankenberg","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",489585.798668611,5652804.5280179,"detected"
"408",93,"111",34,24,"c","Grüsen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",496526.71695424,5649992.85983575,"detected"
"409",94,"111",35,7,"dl","Armsfeld","der Eder","Hessen-Nassau","j","j","j",NA,NA,"detected","","",504464.805152905,5655609.44068085,"detected"
"410",95,"111",35,8,"cr","Bergfreiheit","der Eder","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",506855.42905444,5655222.8439569,"detected"
"411",97,"111",35,16,"bo","Battenhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,"detected","","",502047.591014131,5653261.49966033,"detected"
"412",98,"111",36,2,"c","Kerstenhausen","Fritzlar-Homberg","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",515121.75037402,5656964.12026914,"detected"
