,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
844,139,8,24,au,Friedrichsthal ,Usingen,Hessen-Nassau,j,j,j,j,NA,not detected,Friedrichsthal,Wehrheim
845,139,9,1,ar,Nieder-Weisel,Friedberg,Hessen,j,j,j,j,NA,not detected,Nieder Weisel,
849,139,9,11,do,Ober-Mörlen,Friedberg,Hessen,j,j,j,j,NA,not detected,Ober Mörlen,
852,139,9,23,cd,Friedberg ,Friedberg,Hessen,j,j,j,j,NA,not detected,Friedberg,Rhein-Main
855,139,10,4,d,Geiß-Nidda ,Büdingen,Hessen,j,j,j,j,NA,not detected,Geiß-Nidda,Nidda
861,139,10,17,c,Reichelsheim,Friedberg,Hessen,j,NA,j,j,NA,not detected,Reichelsheim,Wetterau
874,139,12,3,cu,Mittel-Seemen,Schotten,Hessen,j,j,NA,NA,NA,not detected,Mittel Seemen,
877,139,12,8,cu,Nieder-Seemen,Schotten,Hessen,j,j,j,j,NA,not detected,Nieder Seemen,
878,139,12,13,br,Böß-Gesäß,Büdingen,Hessen,j,NA,NA,NA,NA,not detected,Bös-Gesäß,
881,139,12,18,bl,Burgbracht,Büdingen,Hessen,j,NA,NA,NA,NA,not detected,Burg Bracht,
884,139,12,25,cr,Untersotzbach,Gelnhausen,Hessen-Nassau,j,j,j,j,NA,not detected,Untersotzbach,Birstein
890,139,14,11,ac,Neu-Anspach,Usingen,Hessen-Nassau,j,j,j,j,NA,not detected,Anspach,
893,139,15,6,d,Ober-Rosbach,Friedberg,Hessen,j,j,j,j,NA,not detected,Ober Rosberg v. d. Höhe,
898,139,16,1,d,Nieder-Florstadt,Friedberg,Hessen,NA,j,j,j,NA,not detected,Nieder Florstadt,
903,139,16,18,du,Höchst an der Nidder ,Büdingen,Hessen,j,j,j,j,NA,not detected,Höchst a. d. Nidder,Altenstadt
910,139,17,7,bo,Aulendiebach,Büdingen,Hessen,j,j,j,j,NA,not detected,Aulen-Diebach,
917,139,17,21,al,Himbach ,Büdingen,Hessen,j,j,j,j,NA,not detected,Himbach,Limeshain
931,139,20,10,cu,Ober-Eschbach,Friedberg,Hessen,j,j,j,j,NA,not detected,Ober Eschbach,
936,139,21,6,ad,Ober-Erlenbach,Friedberg,Hessen,j,j,j,j,NA,not detected,Ober Erlenbach,
938,139,21,11,cu,Nieder-Eschbach,Friedberg,Hessen,j,j,j,j,NA,not detected,Nieder Eschbach,
942,139,21,18,cu,Bad-Vilbel,Friedberg,Hessen,j,j,j,j,NA,not detected,Vilbel,
950,139,23,1,cl,Langen-Bergheim,Büdingen,Hessen,j,j,j,j,NA,not detected,Langenbergheim,
951,139,23,4,bd,Hain-Gründau,Büdingen,Hessen,j,NA,NA,NA,NA,not detected,Haingründau,
968,139,26,12,d,Frankfurt-Sossenheim,Frankfurt a. M.,Hessen-Nassau,j,j,j,NA,NA,not detected,Frankfurt a. M. - Gossenheim,
971,139,28,18,ao,Klein-Steinheim,Offenbach,Hessen,j,j,j,j,NA,not detected,Klein Steinheim,
972,139,28,18,du,Klein-Auheim,Offenbach,Hessen,j,j,j,j,NA,not detected,Klein Auheim,
973,139,28,19,cl,Großauheim,Offenbach,Hessen,j,j,j,j,NA,not detected,Groß Auheim,
974,139,28,21,bl,Lämmerspiel,Offenbach,Hessen,NA,j,j,j,NA,not detected,Lämmerspiel,Mühlheim am Main
975,139,29,3,bl,Neuenhaßlau ,Gelnhausen,Hessen-Nassau,j,j,j,j,NA,not detected,Neuenhaßlau,Hasselroth
980,139,30,1,bl,Großenhausen ,Gelnhausen,Hessen-Nassau,j,j,NA,NA,NA,not detected,Großenhausen,Linsengericht
991,139,32,1,ab,Frankfurt-Sindlingen,Frankfurt a. M.,Hessen-Nassau,j,j,NA,NA,NA,not detected,Frankfurt a. M. -Sindlingen,
998,139,34,4,bu,Klein-Krotzenburg,Offenbach,Hessen,j,j,j,j,NA,not detected,Klein Krotzenburg,
999,139,34,5,al,Großkrotzenburg,Hanau,Hessen-Nassau,j,j,j,j,NA,not detected,Groß Krotzenburg,
1005,139,35,11,a,Großwelzheim ,BA. Alzenau,RegBez. Unterfranken (Bayern),NA,NA,NA,j,NA,not detected,Großwelzheim,Karlstein am Main
1014,140,1,11,bd,Ober-Moos,Lauterbach,Hessen,j,j,j,j,NA,not detected,Ober Moos,
1016,140,1,13,bl,Reichlos ,Lauterbach,Hessen,j,j,j,NA,NA,not detected,Reichlos,Freiensteinau
1024,140,4,1,dr,Poppenhausen ,Fulda,Hessen-Nassau,j,j,j,NA,NA,not detected,Poppenhausen,Wasserkuppe
1037,140,13,1,bl,Katholisch-Willenroth,Gelnhausen,Hessen-Nassau,j,j,j,j,NA,not detected,Katholisch Willenroth,
1040,140,14,1,al,Niederzell ,Schlüchtern,Hessen-Nassau,j,j,j,NA,NA,not detected,Niederzell,Schlüchtern
1043,140,14,21,ac,Marjoß ,Schlüchtern,Hessen-Nassau,j,j,j,j,NA,not detected,Marjoß,Steinau
